id,hip,hd,hr,gl,proper,dist,x,y,z
0,,,,,Sol,0,0.000005,0,0
1,1,224700,,,,219.7802,219.740502,0.003449,4.177065
2,2,224690,,,,47.9616,45.210918,0.003365,-16.008996
3,3,224699,,,,442.4779,344.552785,0.030213,277.614965
4,4,224707,,,,134.2282,82.835513,0.012476,-105.61954
5,5,224705,,,,257.732,195.714261,0.034068,-167.695291
6,6,,,,,55.0358,54.905296,0.017912,3.787796
7,7,,,,,57.8704,54.367897,0.020886,19.827115
8,8,224709,,,,200.8032,180.654532,0.086213,87.668389
9,9,224708,,,,420.1681,337.379614,0.207994,250.431996
10,10,224717,,,,92.3361,58.275424,0.037038,-71.623522
11,11,224720,,,,239.2344,163.34042,0.106439,174.793831
12,12,224715,,,,307.6923,249.053728,0.177782,-180.684145
13,13,224728,,,,100000,92324.548321,67.196978,-38421.000273
14,14,224726,,,,205.7613,205.757155,0.17389,-1.294442
15,15,236267,,,,523.5602,330.967664,0.290916,405.679189
16,17,224732,,,,136.4256,104.212982,0.092744,-88.043116
17,16,,,,,751.8797,432.180376,0.395981,-615.258522
18,18,,,,,44.8229,44.710745,0.041225,-3.168578
19,19,224721,,,,249.3766,195.693966,0.182078,154.572309
20,20,224723,,,,96.6184,88.585158,0.097476,38.571692
21,21,224724,,,,189.3939,187.547277,0.217307,26.382215
22,22,224735,,,,318.4713,207.454138,0.253838,-241.63337
23,23,224742,,,,86.2813,83.962827,0.109269,19.866919
24,24,224746,,,,105.4852,96.770874,0.129015,-41.982243
25,25,224750,9077,,,81.367,58.243094,0.080879,-56.818381
26,26,224744,,,,100.8065,98.064726,0.14392,-23.350361
27,27,224748,,,,107.6426,80.870646,0.121258,-71.041209
28,28,224749,,,,198.0198,143.966634,0.219137,-135.961029
29,29,224751,,,,411.5226,269.397158,0.433657,-311.088145
30,30,224757,,,,244.4988,181.293246,0.304102,164.049778
31,31,224760,,,,306.7485,306.413678,0.524535,14.318687
32,32,224756,,,,330.033,203.462862,0.350076,259.85481
33,33,224743,,,,113.7656,111.874004,0.19364,-20.658692
34,34,224758,9078,,,74.6269,66.54131,0.115654,33.784832
35,35,224745,,,,145.3488,140.724913,0.2529,-36.369062
36,36,224759,,,,184.5018,180.288895,0.325359,39.201059
37,37,224764,,,,381.6794,259.428169,0.476909,-279.957073
38,38,224752,,,,42.3012,8.026508,0.015848,-41.532715
39,39,224763,,,,92.5069,88.606493,0.173657,-26.578231
40,41,224768,,,,364.9635,212.959233,0.433276,296.389159
41,40,,,,,100000,38724.465519,82.422961,92197.662534
42,42,224771,,,,163.3987,147.054957,0.321961,71.23111
43,43,224784,9079,,,136.2398,69.024292,0.155048,117.45989
44,44,224776,,,,335.5705,335.01103,0.776192,-19.353759
45,45,224766,,,,62.3053,19.043572,0.044508,-59.32361
46,46,224778,,,,833.3333,751.384895,1.76497,-360.363723
47,47,,,,,40.7498,22.291838,0.052522,-34.111837
48,48,224780,,,,671.1409,508.8863,1.201131,-437.565308
49,49,,,,,375.9398,360.140834,0.877278,107.835722
50,50,224782,,,,59.4177,35.677374,0.089097,-47.513999
51,51,224774,,,,100000,99982.372691,250.263031,1860.784651
52,52,224767,,,,209.6436,47.087672,0.12072,-204.286993
53,53,,,,,100000,87237.870108,224.46559,-48882.549384
54,54,,,,,50.2008,47.75204,0.127177,15.48699
55,55,224783,,,,64.9351,25.702202,0.07125,-59.631861
56,56,224785,,,,253.8071,253.804153,0.721721,0.987533
57,57,224789,,,,29.8686,10.374188,0.030419,-28.00908
58,58,224792,,,,38.8048,18.112462,0.054853,34.318498
59,59,236270,,,,100000,56319.956142,171.475741,82631.913264
60,60,224788,,,,172.117,74.19065,0.227164,-155.306013
61,61,236269,,,,178.8909,105.597675,0.324911,144.398682
62,62,224800,,,,308.642,216.625621,0.680458,-219.847132
63,63,224801,9080,,,187.9699,132.325125,0.419892,133.501154
64,64,224798,,,,243.9024,215.536337,0.69433,-114.157726
65,65,,,,,54.7046,31.509513,0.102901,-44.718378
66,66,224790,,,,127.2265,38.642308,0.12708,-121.21608
67,67,224806,,,,150.3759,137.862871,0.479653,60.054225
68,68,224808,,,,31.5856,30.206989,0.105644,9.228456
69,69,224804,,,,182.8154,157.686444,0.554335,92.499452
70,70,,,,,168.3502,134.841793,0.476944,100.793121
71,71,224803,,,,136.9863,109.716997,0.396439,82.019935
72,72,224810,,,,87.8735,85.679304,0.328884,-19.511553
73,73,224826,,,,280.112,110.131222,0.423507,257.553115
74,74,,,,,44.5236,36.132732,0.140219,26.014553
75,75,224821,,,,641.0256,408.201365,1.590705,-494.249872
76,76,,,,,346.0208,290.767266,1.158155,187.572518
77,77,224820,,,,208.7683,180.680166,0.727112,-104.586559
78,78,224816,,,,709.2199,675.006346,2.736898,217.604708
79,79,,,,,271.0027,221.127909,0.909944,156.665514
80,80,224817,,,,73.0994,71.547716,0.303237,-14.978171
81,81,224828,,,,43.7828,43.620267,0.185316,-3.764562
82,82,,,,,100000,98183.062891,425.0085,-18971.176274
83,83,236274,,,,543.4783,333.993017,1.446094,428.736791
84,84,,,,,47.7783,42.229742,0.186052,22.346816
85,85,,,,,304.878,276.950145,1.238095,-127.466385
86,86,224836,,,,272.4796,94.962169,0.431695,255.396031
87,87,224829,,,,340.1361,338.370259,1.544324,-34.579615
88,88,224834,9081,,,181.8182,119.736878,0.562356,-136.823418
89,89,224837,,,,581.3953,348.533968,1.685962,465.34044
90,90,224842,,,,113.2503,84.308939,0.412135,-75.61391
91,91,224840,,,,301.2048,299.619504,1.467004,-30.827462
92,92,224841,,,,404.8583,378.703543,1.921411,-143.143907
93,93,224839,,,,61.1995,61.198649,0.312274,-0.081283
94,94,,,,,90.7441,76.312459,0.392913,-49.099347
95,95,224847,,,,149.2537,146.009571,0.769644,-30.939939
96,96,,,,,35.1494,34.108524,0.181537,8.48858
97,98,224851,,,,174.8252,105.701105,0.566682,-139.250874
98,97,224849,,,,180.1802,167.750771,0.899961,-65.755407
99,99,224855,,,,877.193,433.870743,2.393403,762.376203
100,100,224844,,,,184.1621,173.335818,0.957136,62.20496
101,101,224864,,,,120.048,80.647032,0.450014,-88.923428
102,102,224850,,,,284.9003,213.415758,1.193767,-188.733861
103,103,224853,,,,109.8901,40.504087,0.227686,-102.152833
104,104,224863,,,,97.6562,82.906345,0.472627,-51.604728
105,105,224854,,,,276.2431,90.258359,0.516403,261.081237
106,106,224870,9083,,,199.6008,128.347884,0.73972,152.861641
107,107,224865,9082,,,166.3894,106.198875,0.618768,-128.089244
108,108,224866,,,,100000,33995.891035,199.746918,-94043.816883
109,109,224875,,,,172.7116,171.496567,1.037433,20.424207
110,110,224873,,,,49.6278,38.232255,0.232625,31.641104
111,111,,,,,38.4911,31.80371,0.194195,21.680663
112,112,,,GJ 1293,,32.1234,30.727669,0.191824,-9.364349
113,113,224881,,,,100000,65590.859465,418.558353,75482.871988
114,114,224882,,,,117.7856,101.238423,0.656689,60.197798
