id,hip,hd,hr,gl,proper,dist,x,y,z
0,,,,,Sol,0,0.000005,0,0
1,1,224700,,,,219.7802,219.740502,0.003449,4.177065
2,2,224690,,,,47.9616,45.210918,0.003365,-16.008996
3,3,224699,,,,442.4779,344.552785,0.030213,277.614965
4,4,224707,,,,134.2282,82.835513,0.012476,-105.61954
5,5,224705,,,,257.732,195.714261,0.034068,-167.695291
6,6,,,,,55.0358,54.905296,0.017912,3.787796
7,7,,,,,57.8704,54.367897,0.020886,19.827115
8,8,224709,,,,200.8032,180.654532,0.086213,87.668389
9,9,224708,,,,420.1681,337.379614,0.207994,250.431996
10,10,224717,,,,92.3361,58.275424,0.037038,-71.623522
11,11,224720,,,,239.2344,163.34042,0.106439,174.793831
12,12,224715,,,,307.6923,249.053728,0.177782,-180.684145
